eventTime,eventLat,eventLon,eventDepths,eventMag,magUnit,eventDescrp
2013-05-24T05:44:49.880000Z,54.815,153.3912,607.0,8.3,MW,SEA OF OKHOTSK
2013-02-06T01:12:26.380000Z,-10.864,165.1418,23.8,7.9,MW,SANTA CRUZ ISLANDS
2013-09-24T11:29:48.230000Z,26.9109,65.5315,15.5,7.8,MW,PAKISTAN
2013-11-17T09:04:56.260000Z,-60.3783,-46.5876,7.9,7.8,MW,SCOTIA SEA
2013-04-16T10:44:19.030000Z,27.9704,62.136,63.1,7.7,MW,SOUTHERN IRAN
2013-01-05T08:58:19.180000Z,55.2347,-134.8008,3.1,7.5,MW,SOUTHEASTERN ALASKA
2013-05-23T17:19:04.840000Z,-23.0783,-177.2133,177.7,7.4,MW,SOUTH OF FIJI ISLANDS
2013-07-15T14:03:41.730000Z,-61.0527,-25.2274,19.9,7.3,MW,SOUTH SANDWICH ISLANDS REGION
2013-07-07T18:35:31.380000Z,-4.0134,153.9277,387.1,7.3,MW,"NEW IRELAND REGION, P.N.G."
2013-04-19T03:05:52.630000Z,46.0722,150.924,109.0,7.2,MW,KURIL ISLANDS
2013-10-25T17:10:17.090000Z,37.1457,144.754,14.7,7.1,MW,"OFF EAST COAST OF HONSHU, JAPAN"
2013-10-15T00:12:33.250000Z,9.8331,124.1231,23.2,7.1,MW,"MINDANAO, PHILIPPINES"
2013-02-06T01:23:23.580000Z,-11.2569,164.93,34.0,7.1,MW,SANTA CRUZ ISLANDS REGION
2013-02-08T15:26:38.770000Z,-10.8933,166.1453,22.4,7.0,MW,SANTA CRUZ ISLANDS
2013-08-30T16:25:02.120000Z,51.5001,-175.2137,30.2,7.0,MW,"ANDREANOF ISLANDS, ALEUTIAN IS."
2013-04-06T04:42:36.190000Z,-3.4714,138.4743,69.4,7.0,MW,"IRIAN JAYA, INDONESIA"
2013-02-06T01:54:15.040000Z,-10.5087,165.8168,9.9,7.0,MW,SANTA CRUZ ISLANDS
2013-09-25T16:42:43.180000Z,-15.9001,-74.6012,38.2,7.0,MW,NEAR COAST OF PERU
2013-02-09T14:16:06.960000Z,1.0345,-77.462,144.2,7.0,MW,COLOMBIA
2013-11-25T06:27:34.680000Z,-53.9716,-54.9648,10.0,6.9,MW,SOUTH ATLANTIC OCEAN
2013-11-16T03:34:34.790000Z,-60.3079,-47.199,24.0,6.9,MW,SCOTIA SEA
2013-02-02T14:17:34.760000Z,42.7847,143.1474,105.0,6.9,MW,"HOKKAIDO, JAPAN REGION"
2013-02-08T11:12:13.280000Z,-10.8703,166.0088,12.7,6.8,MW,SANTA CRUZ ISLANDS
2013-05-14T00:32:26.430000Z,18.7672,145.2903,611.7,6.8,MW,MARIANA ISLANDS
2013-01-30T20:15:43.390000Z,-28.1096,-70.8883,46.1,6.8,MW,CENTRAL CHILE
2013-09-28T07:34:07.460000Z,27.1617,65.6192,18.7,6.8,MW,PAKISTAN
2013-10-12T13:11:53.650000Z,35.5277,23.3718,46.9,6.8,MW,"CRETE, GREECE"
2013-10-16T10:31:00.990000Z,-6.4787,154.9648,58.0,6.8,MW,SOLOMON ISLANDS
2013-02-28T14:05:50.870000Z,50.7866,157.4851,52.8,6.8,MW,KURIL ISLANDS
2013-02-07T18:59:16.580000Z,-11.0207,165.7077,13.7,6.7,MW,SANTA CRUZ ISLANDS
2013-10-01T03:38:21.390000Z,53.1368,152.8959,578.4,6.7,MW,SEA OF OKHOTSK
2013-02-14T13:13:52.720000Z,67.5173,142.7017,8.9,6.7,MW,"EASTERN SIBERIA, RUSSIA"
2013-05-24T14:56:31.600000Z,52.1357,151.5688,632.0,6.7,MW,SEA OF OKHOTSK
2013-06-13T16:47:25.800000Z,-9.9513,107.3023,20.6,6.6,MW,"SOUTH OF JAVA, INDONESIA"
2013-02-09T21:02:22.690000Z,-10.9577,165.8868,17.9,6.6,MW,SANTA CRUZ ISLANDS
2013-07-07T20:30:07.380000Z,-6.036,149.7262,65.9,6.6,MW,"NEW BRITAIN REGION, P.N.G."
