#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
AU|PSA00|-21.5725|119.845802|305.0|Pilbara Seismic Array Element A0|2011-01-01T00:00:00|
AU|PSAA1|-21.576689|119.836227|325.0|Pilbara Seismic Array Element A1|2011-01-01T00:00:00|
AU|PSAA2|-21.562828|119.846695|330.0|Pilbara Seismic Array Element A2|2011-01-01T00:00:00|
AU|PSAA3|-21.578085|119.854874|315.0|Pilbara Seismic Array Element A3|2011-01-01T00:00:00|
AU|PSAB1|-21.568909|119.821869|317.0|Pilbara Seismic Array Element B1|2011-01-01T00:00:00|
AU|PSAB2|-21.55485|119.861053|302.0|Pilbara Seismic Array Element B2|2011-01-01T00:00:00|
AU|PSAB3|-21.593241|119.854675|327.0|Pilbara Seismic Array Element B3|2011-01-01T00:00:00|
AU|PSAC1|-21.533709|119.809319|303.0|Pilbara Seismic Array Element C1|2011-01-01T00:00:00|
AU|PSAC2|-21.562519|119.900436|330.0|Pilbara Seismic Array Element C2|2011-01-01T00:00:00|
AU|PSAC3|-21.621359|119.827744|352.0|Pilbara Seismic Array Element C3|2011-01-01T00:00:00|
AU|PSAD1|-21.455038|119.830154|280.0|Pilbara Seismic Array Element D1|2011-01-01T00:00:00|
AU|PSAD2|-21.61713|119.962402|366.0|Pilbara Seismic Array Element D2|2011-01-01T00:00:00|
AU|PSAD3|-21.642984|119.779861|327.0|Pilbara Seismic Array Element D3|2011-01-01T00:00:00|
BK|BDM|37.95397|-121.86554|219.8|Black Diamond Mines Park, Antioch, CA, USA|1998-11-12T00:00:00|
BK|BKS|37.87622|-122.23558|243.9|Byerly Seismographic Vault, Berkeley, CA, USA|1993-12-13T23:54:00|
BK|BL67|37.87492|-122.24318|736.18|LBL Building 67, Berkeley, CA, USA|2011-04-15T18:00:00|
BK|BRIB|37.91886|-122.15179|219.7|Briones Reserve, Orinda, CA, USA|1995-06-23T16:00:00|2014-12-16T03:00:00
BK|BRK|37.87352|-122.26099|49.4|Haviland Hall, Berkeley, CA, USA|1996-08-16T00:00:00|
BK|CMB|38.03455|-120.38651|697.0|Columbia College, Columbia, CA, USA|1996-09-25T19:19:00|
BK|CVS|38.34526|-122.4584|295.1|Carmenet Vineyards, Sonoma, CA, USA|1998-05-06T00:00:00|
BK|FARB|37.69782|-123.0011|-18.5|Farallon Islands, CA, USA|1997-03-15T00:00:00|
BK|GASB|39.65471|-122.71595|1354.8|Alder Springs, CA, USA|2005-09-22T00:00:00|
BK|HAST|36.3887|-121.5514|542.0|UC Hastings Preserve, Carmel Valley, CA, USA|2008-03-20T15:56:00|
BK|HATC|40.8161|-121.46117|1009.3|Hat Creek Radio Astronomy Obs., Cassel, CA, USA|2008-04-15T00:00:00|
BK|HELL|36.68011|-119.02282|1140.0|Rademacher Property, Miramonte, CA, USA|2008-04-03T01:47:00|
BK|HOPS|38.99349|-123.07234|299.1|Hopland Research and Extension Center, Hopland, CA|1998-03-24T22:42:00|
BK|HUMO|42.6071|-122.95669|554.9|Hull Mountain, OR, USA|2002-06-18T00:00:00|
BK|JCC|40.81745|-124.02955|27.25|Jacoby Creek, Bayside, CA, USA|2001-04-11T21:27:00|
BK|JRSC|37.40373|-122.23868|70.5|Jasper Ridge Biol. Preserve, Stanford, CA, USA|1994-06-30T21:20:00|
BK|KCC|37.32363|-119.3187|888.1|Kaiser Creek, CA, USA|1995-12-09T00:00:00|
BK|MCCM|38.14478|-122.88018|-7.7|Marconi Conference Center, Marshall, CA, USA|2006-02-03T18:30:00|
BK|MHC|37.34164|-121.64257|1250.4|Lick Observatory, Mt. Hamiliton, CA, USA|1993-02-02T21:55:00|
BK|MNRC|38.87874|-122.44277|709.87|McLaughlin Natural Reserve (UC Davis), CA, USA|2003-06-19T15:00:00|
BK|MOBB|36.69065|-122.16603|-1036.5|Monterey Bay Ocean Bottom, CA, USA|2002-04-10T18:43:00|2016-08-03T19:29:00
BK|MOD|41.90246|-120.30295|1554.5|Modoc Plateau, CA, USA|1999-10-16T00:00:00|
BK|ORV|39.55451|-121.50036|334.7|Oroville Dam, Oroville, CA, USA|1992-07-31T18:50:00|
BK|OXMT|37.49936|-122.42431|209.1|Ox Mountain, CA, USA|2003-12-20T00:10:00|
